color,discountReason,extras,gpu_brand,gpu_mem,hdd,name,old_price,os,price,processor,ram,screenMate,screenResol,screenSize,ssd,url,weight
сірий,,"'без ОД', 'Wi-Fi', 'Bluetooth', 'веб-камера'",Intel HD Graphics 505,,,Ноутбук Lenovo IdeaPad 120S-14IAP (81A500BMRA) Mineral Grey (SYD03HRDK) - Уцінка,9499,DOS,8277,Intel Pentium N4200 (1.1 - 2.5 ГГц),RAM 4 ГБ,матовий,1920x1080,"14.0""",,,1.44 кг
 сірий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel UHD Graphics 620 ,, HDD 1 ТБ ,Ноутбук Asus VivoBook 15 X510UA (X510UA-EJ624) Grey (HBN0CX20M97346C) - Уцінка,15599, Endless OS ,13139, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 4 ГБ ,матовий,1920x1080,"15.6""",,, 1.7 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,, HDD 500 ГБ ,Ноутбук HP 250 G6 (2EW20ES) Dark Ash (CND7321840) - Уцінка,15199, Windows 10 Pro 64bit ,13499, Intel Core i5 7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1366x768,"15.6""",,, 1.86 кг 
 темно-коричневий,,"' DVD SuperMulti ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 810M, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook Max X541SC (X541SC-DM016D) Chocolate Black (H2N0GR029867093) - Уцінка,9799, DOS ,8189, Intel Pentium N3710 (1.6 - 2.56 ГГц) , RAM 4 ГБ ,матовий,1920x1080,"15.6""",,, 2 кг 
 сірий,,"' DVD±RW ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon R7 M445, 4 ГБ , HDD 1 ТБ ,Ноутбук Dell Inspiron 5567 (55i58H1R7M-LFG) Gray (7XZYW32) - Уцінка,17999, Linux ,14315, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,покриттям,1920x1080,"15.6""",,, 2.36 кг 
,,,,, HDD 1 ТБ ,Ноутбук ASUS FX553VE-DM406 (90NB0DX7-M06150) Black Red (HBN0CV17E41947D) - Уцінка,24599, RAM 8 ГБ ,22599, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,, HDD 1 ТБ 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,,,Ноутбук Lenovo ThinkPad T470 (20HDS00N00) (SPF0WXGTW) - Уцінка,32780, DOS ,30789, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 16 ГБ ,матовий,1920x1080,"14""", SSD 256 ГБ ,, 1.65 кг 
,,,,, HDD 1 ТБ ,Ноутбук ASUS FX553VE-DM406 (90NB0DX7-M06150) Black Red (HBN0CV237823485) - Уцінка,24599, RAM 8 ГБ ,22599, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,, HDD 1 ТБ 
 темно-коричневий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 920MX, 2 ГБ , HDD 500 ГБ ,Ноутбук ASUS VivoBook Max X541UV-GQ988 (90NB0CG1-M14170) Chocolate Black (H9N0CX02L248368) - Уцінка,11999, Endless OS ,10349, Intel Core i3-7100U (2.4 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,, 2 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Lenovo IdeaPad 320-17IKB (81BJ003JRA) Onyx Black (SPF112ZBR) - Уцінка,21999, DOS ,20448, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,P,"17.3""", SSD 128 ГБ ,, 2.8 кг 
