color,discountReason,extras,gpu_brand,gpu_mem,hdd,name,old_price,os,price,processor,ram,screenMate,screenResol,screenSize,ssd,url,weight
 темно-коричневий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 920MX, 2 ГБ ,,Ноутбук Asus VivoBook Max X541UV (X541UV-GQ989) Chocolate Black (H8N0CX21W610352) - Уцінка,13258, Endless OS ,11249, Intel Core i3-7100U (2.4 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""", SSD 128 ГБ ,, 2 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 500 ГБ ,Ноутбук Acer Aspire 5 A515-51G (NX.GPDEU.031) Steel Gray (NXGPDEU03173804BAE3400) - Уцінка,14499, Linux ,12396, Intel Core i3-6006U (2.0 ГГц) , RAM 4 ГБ ,матовий,1920x1080,"15.6""", SSD 128 ГБ ,, 2.1 кг 
 чорний,,"' DVD+', '-RW ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon R5 M430, 2 ГБ , HDD 1 ТБ ,Ноутбук Dell Inspiron 3567 (I35F5810DDL-6BK) Black (F2VDTJ2) - Уцінка,16999, Linux ,13996, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,покриттям,1920x1080,"15.6""",,, 2.3 кг 
 темно-сірий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook 15 X542UQ (X542UQ-DM028T) Dark Grey (HAN0CV05194141C) - Уцінка,27899, Windows 10 ,21869, Intel Core i7-7500U (2.7 - 3.5 ГГц) , RAM 16 ГБ ,матовий,1920x1080,"15.6""", SSD 128 ГБ ,, 2.15 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon 520, 2 ГБ , HDD 500 ГБ ,Ноутбук HP 250 G6 (2EV79ES) Dark Ash (CND750261T) - Уцінка,14599, Windows 10 Home 64bit ,11293, Intel Core i3-6006U (2.0 ГГц) , RAM 4 ГБ ,матовий,1920x1080,"15.6""",,, 1.86 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,, HDD 1 ТБ ,Ноутбук HP 250 G6 (2RR96ES) Dark Ash (CND73240FV) - Уцінка,14999, DOS ,12869, Intel Core i5 7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1366x768,"15.6""",,, 1.86 кг 
 темно-сірий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon R5 ,, HDD 1 ТБ ,Ноутбук Asus VivoBook 15 X542BA (X542BA-DM021) Dark Grey (HBN0CV05687545F) - Уцінка,12033, Endless OS ,10146, AMD Dual Core A9-9420 (3.0 - 3.6 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,, 2.3 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,, HDD 1 ТБ ,Ноутбук HP ProBook 430 G4 (Z2Y77ES) (5CD6518WSV) - Уцінка,16499, DOS ,13229, Intel Core i3-7100U (2.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"13.3""",,, 1.49 кг 
 чорний,,"' без ОД', ' LAN', ' Wi-Fi', ' Bluetooth', ' веб-камера'", Intel UHD Graphics 620,,,Ноутбук Dell Latitude 5590 (N025L559015EMEA_UBU) Black (F72RJM2) - Уцінка,29160, Ubuntu Linux,23374, Intel Core i5-8250U (1.6 - 3.4 ГГц), RAM 8 ГБ,матовий,P,"15.6""", SSD 256 ГБ,, 1.88 кг
 чохол,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера ', ' Windows 10 '", Intel UHD Graphics 620 ,,,Ноутбук Asus ZenBook 13 UX331UA (UX331UA-EG012T) Slate Grey (HAN0CV20653043D) - Уцінка,28843, 1.12 кг ,27323, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"13.3""", SSD 256 ГБ ,, сірий 
,,,,, HDD 1 ТБ ,Ноутбук ASUS FX553VE-DM406 (90NB0DX7-M06150) Black Red (HBN0CV23783648C) - Уцінка,24599, RAM 8 ГБ ,22769, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,, HDD 1 ТБ 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,,,Ноутбук Lenovo ThinkPad T570 (20H9005ART) (SR90PY30Y) - Уцінка,48583, Windows 10 Pro 64bit ,43999, Intel Core i7-7500U (2.7 - 3.5 ГГц) , RAM 16 ГБ ,матовий,P,"15.6""", SSD 512 ГБ ,, 2.04 кг 
 сірий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel UHD 620 ,,,Ноутбук Lenovo Yoga 520-14IKB (81C800DCRA) Mineral Grey (SMP1CNGUS) - Уцінка,29958, Windows 10 Home ,28319, Intel Core i7-8550U (1.8 - 4.0 ГГц) , RAM 8 ГБ ,матовий,P,"14""", SSD 256 ГБ ,, 1.74 кг 
 синій ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 2 ГБ ,,Ноутбук ASUS ZenBook UX430UN-GV027T (90NB0GH5-M00570) Blue (HBN0CV16D48347G) - Уцінка,36299, Windows 10 ,33725, Intel Core i7-8550U (1.8 - 4.0 ГГц) , RAM 16 ГБ ,матовий,1920x1080,"14.0""", SSD 512 ГБ ,, 1.3 кг 
 темно-сірий ,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050 Ti, 4 ГБ , HDD 1 ТБ ,Ноутбук ASUS ROG Strix GL503GE-EN044T (90NR0081-M00550) Scar Gunmetal (J3NRCX05W023148) - Уцінка,45599, Windows 10 64bit ,42624, Intel Core i7-8750H (2.2 - 4.1 ГГц) , RAM 16 ГБ ,матовий,1920x1080,"15.6""", SSD 128 ГБ ,, 2.6 кг 
 бронзовий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Lenovo IdeaPad 520-15IKB (81BF00ENRA) Bronze (SPF10Q5FA) - Уцінка,25364, DOS ,21617, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 16 ГБ ,матовий,P,"15.6""", SSD 128 ГБ ,, 2.2 кг 
 червоний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook 15 X542UQ (X542UQ-DM038) Red (H9N0CV054063363) - Уцінка,18899, без ОС ,15794, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,, 2.15 кг 
 сріблястий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб камера '", Intel HD Graphics 620 ,, HDD 500 ГБ ,Ноутбук Asus VivoBook Max X541UA (X541UA-GQ1555D) Silver (H3N0CX008237096) - Уцінка,9999, DOS ,8370, Intel Core i3-7100U (2.4 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,, 2 кг 
 сріблястий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 950M, 4 ГБ , HDD 2 ТБ ,Ноутбук HP Envy 15-ae003ur (N0K97EA) (CND5434WKD) - Уцінка,26999, Windows 8.1 64bit ,21415, Intel Core i7-5500U (2.4 ГГц) , RAM 12 ГБ ,матовий,1920x1080,"15.6""",,, 2.36 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon 520, 2 ГБ ,,Ноутбук HP 250 G6 (2RR92ES) Dark Ash (CND7323ZBS) - Уцінка,18563, DOS ,14329, Intel i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""", SSD 256 ГБ ,, 1.86 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 500 ГБ ,Ноутбук Acer Aspire 5 A515-51G (NX.GPDEU.031) Steel Gray (NXGPDEU031738055B93400) - Уцінка,14499, Linux ,12528, Intel Core i3-6006U (2.0 ГГц) , RAM 4 ГБ ,матовий,1920x1080,"15.6""", SSD 128 ГБ ,, 2.1 кг 
 чорний ,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1060, 6 ГБ , HDD 1 ТБ ,Ноутбук Asus ROG Strix GL703VM (GL703VM-EE043T) Black (HBN0CX219312467) - Уцінка,57999, Windows 10 ,46764, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 32 ГБ ,матовий,1920x1080,"17.3""", SSD 256 ГБ ,, 2.95 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Lenovo IdeaPad 320-17IKB (81BJ003JRA) Onyx Black (SPF112UBT) - Уцінка,21999, DOS ,18899, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,P,"17.3""", SSD 128 ГБ ,, 2.8 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,, HDD 500 ГБ ,Ноутбук HP ProBook 430 G4 (W6P91AV_V5) (5CD74119GC) - Уцінка,16239, DOS ,13770, Intel Core i3-7100U (2.4 ГГц) , RAM 4 ГБ ,матовий,V,"13.3""", SSD 128 ГБ ,, 1.49 кг 
 чорний,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050, 2 ГБ ,,Ноутбук Dream Machines Clevo G1050-15 (G1050-15UA22) (BK240047) - Уцінка,29999, DOS ,25919, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 16 ГБ ,матовий,P,"15.6""", SSD 500 ГБ ,, 2.3 кг 
 2.7 кг ,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth '", nVidia GeForce GTX 950M, 4 ГБ , HDD 1 ТБ ,Ноутбук Asus N752VX (N752VX-GB158T) (G7N0CY00U010306) - Уцінка,32118, веб-камера ,30335, Intel Core i5-6300HQ (2.3 - 3.2 ГГц) , RAM 16 ГБ ,матовий,P,"17.3""", SSD 128 ГБ ,, Windows 10 
 золотистий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 930MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus Vivobook 14 X405UR (X405UR-BM030) Gold (HAN0CX052641416) - Уцінка,12499, Endless OS ,11116, Intel Pentium 4405U (2.1 ГГц) , RAM 4 ГБ ,матовий,1920x1080,"14.0""",,, 1.42 кг 
 сріблястий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 920MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook Max X541UV (X541UV-GQ997) Silver (H8N0CX21Z416351) - Уцінка,15999, Endless OS ,13949, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,глянсовий,1366x768,"15.6""",,, 2 кг 
 темно-сірий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook 15 X542UN (X542UN-DM041) Dark Grey (HBN0CV07Z61645A) - Уцінка,26965, Endless OS ,22950, Intel Core i7-8550U (1.8 - 4.0 ГГц) , RAM 16 ГБ ,матовий,1920x1080,"15.6""", SSD 128 ГБ ,, 2.3 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 610 ,, HDD 1 ТБ ,Ноутбук HP ProBook 430 G4 (W6P97AV_V8) (5CD7403R83) - Уцінка,14744, DOS ,12599, Intel Pentium 4415U (2.3 ГГц) , RAM 8 ГБ ,матовий,V,"13.3""", SSD 128 ГБ ,, 1.49 кг 
 сріблястий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 930MX, 2 ГБ , HDD 1 ТБ ,Ноутбук HP ProBook 450 G5 (1LU52AV_V1) (5CD7506ZH7) - Уцінка,25232, DOS ,20473, Intel Core i7-8550U (1.8 - 4.0 ГГц) , RAM 8 ГБ ,матовий,1920х1080,"15.6""",,, 2.1 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GT 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Dell Vostro 14 5468 (N020VN5468EMEA01_1801_U) (322N4H2) - Уцінка,19164, Linux ,15882, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 4 ГБ ,матовий,1366x768,"14""",,, 1.59 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVIDIA GeForce GT 940MX, 2 ГБ ,,Ноутбук Lenovo ThinkPad T470p (20J6001KRT) (SPF1159TN) - Уцінка,51480, Windows 10 Pro ,46411, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 16 ГБ ,матовий,P,"14""", SSD 512 ГБ ,, 1.96 кг 
 сірий ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook S14 S410UN (S410UN-EB055T) Grey (HBN0GR04N230477) - Уцінка,21807, Windows 10 ,19259, Intel Core i3-7100U (2.4 ГГц) , RAM 8 ГБ ,матовий,P,"14""", SSD 128 ГБ ,, 1.3 кг 
 чорний,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", NVIDIA GeForce GTX 1050Ti, 4 ГБ , HDD 1 ТБ ,Ноутбук Acer Predator Helios 300 PH317-51 (NH.Q2MEU.012) Shale Black (NHQ2MEU01273817CF33400) - Уцінка,37999, Windows 10 Home ,34009, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 8 ГБ ,матовий,P,"17.3""",,, 3 кг 
 сріблястий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 810M, 2 ГБ ,,Ноутбук Asus VivoBook Max X541NC (X541NC-DM035) Silver (H9N0GR01A124366) - Уцінка,9999, без ОС ,8459, Intel Pentium N4200 (1.1 - 2.5 ГГц) , RAM 4 ГБ ,матовий,1920x1080,"15.6""", SSD 128 ГБ ,, 2 кг 
 чорний,,"' DVD+', '-RW ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 520 ,, HDD 1 ТБ ,Ноутбук Dell Inspiron 3567 (I315H34H10DIW-6BK) Black (6QYB4L2) - Уцінка,11699, Windows 10 Home Ukr ,9989, Intel Core i3-6006U (2.0 ГГц) , RAM 4 ГБ ,глянсовий,1366x768,"15.6""",,, 2.3 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GT 940MX, 2 ГБ ,,Ноутбук Dell Vostro 14 5468 (N016VN5468EMEA01_U) (5W43Z32) - Уцінка,20508, Linux ,15299, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1366x768,"14""", SSD 256 ГБ ,, 1.59 кг 
 темно-коричневий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 920MX, 2 ГБ , HDD 500 ГБ ,Ноутбук ASUS VivoBook X540UV-GQ004 (90NB0HE1-M00040) Chocolate Black (J1N0GR03L21803F) - Уцінка,11511, Endless OS ,9629, Intel Core i3-6006U (2.0 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,, 2 кг 
 синій ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ ,,Ноутбук Asus ZenBook UX430UQ (UX430UQ-GV156T) Royal Blue (H7N0CV01N710273) - Уцінка,33999, Windows 10 ,30149, Intel Core i7-7500U (2.7 - 3.5 ГГц) , RAM 16 ГБ ,матовий,P,"14.0""", SSD 512 ГБ ,, 1.25 кг 
 сріблястий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 520 ,,,Ноутбук HP Envy 13-d000ur (N7H79EA) (CND64680HK) - Уцінка,21800, Windows 10 Home 64bit ,18344, Intel Core i5-6200U (2.3 - 2.8 ГГц) , RAM 8 ГБ ,матовий,P,"13.3""", SSD 128 ГБ ,, 1.36 кг 
 сірий ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD graphics 620 ,, HDD 1 ТБ ,Ноутбук Asus VivoBook S14 S410UA (S410UA-EB105T) Grey (HAN0GR03L384426) - Уцінка,22820, Windows 10 ,19889, Intel Core i3-7100U (2.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"14.0""", SSD 128 ГБ ,, 1.43 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND5509892) - Уцінка,13299, DOS ,10985, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,, 2.15 кг 
 синій ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 2 ГБ ,,Ноутбук Asus ZenBook UX430UN (UX430UN-GV045T) Blue Metal (HBN0CV084262456) - Уцінка,29966, Windows 10 ,25851, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"14.0""", SSD 256 ГБ ,, 1.3 кг 
 темно-сірий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook 15 X542UN (X542UN-DM041) Dark Grey (HBN0CV07Z602458) - Уцінка,26965, Endless OS ,23175, Intel Core i7-8550U (1.8 - 4.0 ГГц) , RAM 16 ГБ ,матовий,1920x1080,"15.6""", SSD 128 ГБ ,, 2.3 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 520 ,,,Ноутбук Dell Vostro 14 5468 (N013RVN5468EMEA01_U) Grey (12SBZL2) - Уцінка,14727, Linux ,10949, Intel Core i3-6006U (2.0 ГГц) , RAM 4 ГБ ,матовий,1366x768,"14""", SSD 128 ГБ ,, 1.59 кг 
 золотистий ,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050, 4 ГБ , HDD 1 ТБ ,Ноутбук ASUS Vivobook Pro N580VD-FY440 (90NB0FL1-M06680) Gold (H9N0CV01W10136H) - Уцінка,29599, Endless OS ,25649, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 8 ГБ ,матовий,P,"15.6""", SSD 128 ГБ ,, 2.2 кг 
 чохол,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера ', ' Windows 10 '", nVidia GeForce MX150, 2 ГБ ,,Ноутбук Asus ZenBook 13 UX331UN (UX331UN-EG009T) Royal Blue (HAN0CV089540418) - Уцінка,30998, 1.12 кг ,26646, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"13.3""", SSD 256 ГБ ,, синій 
 білий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,, HDD 1 ТБ ,Ноутбук Asus X756UA (X756UA-T4357D) White (H8N0CX09T60633A) - Уцінка,16799, DOS ,14220, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"17.3""",,, 2.69 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GT 940MX, 4 ГБ ,,Ноутбук Dell Vostro 15 5568 (N037VN5568EMEA01_1801_UBU) Gray (B10DY32) - Уцінка,20599, Ubuntu Linux ,17999, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""", SSD 256 ГБ ,, 1.98 кг 
 черный ,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1070, 8 ГБ , HDD 1 ТБ ,Ноутбук Asus ROG Strix GL502VS (GL502VS-GZ302T) Black (H4N0CV07K680166) - Уцінка,55555, Windows 10 ,47253, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 32 ГБ ,матовый,P,"15.6""", SSD 512 ГБ ,, 2.24 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon 520, 2 ГБ ,,Ноутбук HP 250 G6 (2RR92ES) Dark Ash (CND7323ZD7) - Уцінка,18563, DOS ,14616, Intel i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""", SSD 256 ГБ ,, 1.86 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1070, 8 ГБ , HDD 1 ТБ ,Ноутбук MSI GE73VR-7RF Raider 4K (GE73VR7RF-277UA) (K1710N0063112) - Уцінка,80534, Windows 10 ,60158, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 32 ГБ ,матовий,P,"17.3""", 2 x SSD 128 ГБ ,, 2.8 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND550989J) - Уцінка,13299, DOS ,10764, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,, 2.15 кг 
,,,,, HDD 1 ТБ ,Ноутбук Asus FX553VE (FX553VE-DM406) Black (HBN0CV23785048G) - Уцінка,24599, RAM 8 ГБ ,20700, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,, HDD 1 ТБ 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,, HDD 1 ТБ ,Ноутбук HP ProBook 430 G5 (1LR32AV_V4) Silver (5CD7503MDW) - Уцінка,19391, DOS ,16179, Intel Core i3-7100U (2.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"13.3""", SSD 128 ГБ ,, 1.49 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,,,Ноутбук Dell Vostro 15 5568 (N021VN5568EMEA01_H) Gray (J6G5Z32) - Уцінка,21647, Windows 10 ,17911, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""", SSD 256 ГБ ,, 1.98 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 4 ГБ ,,Ноутбук Dell Vostro 14 5468 (N016VN5468EMEA01_1801_UBU) (J53BZL2) - Уцінка,22999, Linux ,18311, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1366x768,"14""", SSD 256 ГБ ,, 1.59 кг 
 сірий ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook S14 S410UN (S410UN-EB057T) Grey (HAN0GR02Z036428) - Уцінка,32984, Windows 10 ,29069, Intel Core i7-8550U (1.8 - 4.0 ГГц) , RAM 16 ГБ ,матовий,1920x1080,"14.0""", SSD 256 ГБ ,, 1.43 кг 
 синій ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 950M, 2 ГБ ,,Ноутбук Asus ZenBook UX530UX (UX530UX-FY035R) Royal Blue (H7N0CV09Z476298) - Уцінка,28319, Windows 10 Pro ,25019, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,покриттям,P,"15.6""", SSD 256 ГБ ,, 1.63 кг 
чорний,,"'DVD +', '-RW', 'LAN', 'Wi-Fi', 'Bluetooth', 'веб-камера'",AMD Radeon 530, 4 ГБ,,Ноутбук Dell Inspiron 5570 (I515F716H2S2DDL-8BK) Black (20S7142) - Уцінка,28699,Linux,22941,Intel Core i7-8550U (1.8 - 4.0 ГГц),RAM 16 ГБ,покриттям,1920x1080,"15.6""", SSD 256 ГБ,,2.02 кг
 сріблястий,,"' DVD +', '- RW ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 5500 ,, HDD 500 ГБ ,Ноутбук Dell Inspiron 5758 (I57H345DIL-5SL) Silver (7TNRTC2) - Уцінка,13999, Linux ,11430, Intel Core i3-5005U (2.0 ГГц) , RAM 4 ГБ ,глянсовий,1600x900,"17.3""",,, 2.83 кг 
 сріблястий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 920MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook Max X541UV (X541UV-GQ997) Silver (H8N0CX21Z398358) - Уцінка,15999, Endless OS ,13949, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,глянсовий,1366x768,"15.6""",,, 2 кг 
 темно-коричневий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 810M, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook Max X541NC (X541NC-DM003) Chocolate Black (H6N0GR04N594268) - Уцінка,10399, без ОС ,8235, Intel Pentium N4200 (1.1 - 2.5 ГГц) , RAM 4 ГБ ,матовий,1920x1080,"15.6""",,, 2 кг 
,,,,, HDD 1 ТБ ,Ноутбук Asus FX553VE (FX553VE-DM406) Black (HCN0CV003898486) - Уцінка,24599, RAM 8 ГБ ,20700, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,, HDD 1 ТБ 
