color,discountReason,extras,gpu_brand,gpu_mem,hdd,name,old_price,os,price,processor,ram,screenMate,screenResol,screenSize,ssd,url,weight
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,,,Ноутбук Lenovo IdeaPad 320-15IKB (80XL02Q9RA) Onyx Black (SPF10WXLH) - Уцінка,17399, DOS ,14415, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""", SSD 256 ГБ ,https://rozetka.com.ua/ua/48552286/p48552286/, 2.2 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND55097QX) - Уцінка,13299, DOS ,12090, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/48607742/p48607742/, 2.15 кг 
сірий,,"'без ОД', 'Wi-Fi', 'Bluetooth', 'веб камера'",Intel UHD Graphics 620,,,Ноутбук ASUS VivoBook S14 S406UA-BM152T (90NB0FX2-M03480) Grey (HCN0CV05S946498) - Уцінка,35099,Windows 10,30326,Intel Core i7-8550U (1.8 - 4.0 ГГц),RAM 16 ГБ,матовий,1920x1080,"14.0""",,https://rozetka.com.ua/ua/48914254/p48914254/,1.2 кг
 чорний,,"' DVD±RW ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 400 ,, HDD 500 ГБ ,Ноутбук Dell Inspiron 3552 (I35C4H5DIW-6B/I35C45DIW-60) Black (4CDC4L2) - Уцінка,7599, Windows 10 Home Ukr ,6762, Intel Celeron N3060 (1.6 - 2.48 ГГц) , RAM 4 ГБ ,глянсовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/48551918/p48551918/, 2.14 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Lenovo IdeaPad 320-17IKB (81BJ003JRA) Onyx Black (SPF112T3Y) - Уцінка,21999, DOS ,20448, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,P,"17.3""", SSD 128 ГБ ,https://rozetka.com.ua/ua/48914262/p48914262/, 2.8 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Lenovo IdeaPad 320-17IKB (81BJ005MRA) Platinum Grey (SPF136EM8) - Уцінка,28525, DOS ,25056, Intel Core i7-8550U (1.8 - 4.0 ГГц) , RAM 16 ГБ ,матовий,P,"17.3""",,https://rozetka.com.ua/ua/48914270/p48914270/, 2.8 кг 
сірий металік,,"'без ОД', 'Wi-Fi', 'Bluetooth', 'веб-камера'",nVidia GeForce 930MX, 2 ГБ,,Ноутбук ASUS VivoBook Flip 14 TP410UR-EC121T (90NB0FZ1-M01600) Star Grey (HBN0CX35E04048H) - Уцінка,30631,Windows 10,28129,Intel Core i5-7200U (2.5 - 3.1 ГГц),RAM 12 ГБ,глянсовий,1920x1080,"14.0""", SSD 256 ГБ,https://rozetka.com.ua/ua/49251998/p49251998/,1.6 кг
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GT 940MX, 4 ГБ , HDD 1 ТБ ,Ноутбук Dell Vostro 15 5568 (N036VN5568EMEA01_1801_UBU) (1V76ZL2) - Уцінка,19599, Linux ,18526, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/49252470/p49252470/, 1.98 кг 
 чорний,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 500 ,,,Ноутбук Acer Aspire ES1-132-C2L5 (NX.GGLEU.004) Black (NXGGLEU00474607DE97600) - Уцінка,6849, Linux ,5904, Intel Celeron N3350 (1.1 - 2.4 ГГц) , RAM 2 ГБ ,матовий,1366x768,"11.6""",,https://rozetka.com.ua/ua/48577366/p48577366/, 1.25 кг 
 темно-сірий ,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,, HDD 1 ТБ ,Ноутбук Asus VivoBook Flip TP501UA (TP501UA-FZ210T) Dark Gray (H4N0CX12P124164) - Уцінка,26399, Windows 10 ,17253, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,Multitouch,1920x1080,"15.6""", SSD 128 ,https://rozetka.com.ua/ua/28832945/p28832945/, 2.2 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050, 4 ГБ ,,Ноутбук Asus FX503VD (FX503VD-E4150) Black (J1NRCX00X25202C) - Уцінка,24599, без ОС ,22113, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 8 ГБ ,матовий,P,"15.6""", SSD 256 ГБ ,https://rozetka.com.ua/ua/45609616/p45609616/, 2.5 кг 
 синій ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 950M, 2 ГБ ,,Ноутбук Asus ZenBook UX530UX (UX530UX-FY035R) Royal Blue (H7N0CV09Z476298) - Уцінка,28319, Windows 10 Pro ,25019, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,покриттям,P,"15.6""", SSD 256 ГБ ,https://rozetka.com.ua/ua/47551752/p47551752/, 1.63 кг 
