color,discountReason,extras,gpu_brand,gpu_mem,hdd,name,old_price,os,price,processor,ram,screenMate,screenResol,screenSize,ssd,url,weight
 сірий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 2 ГБ ,,Ноутбук Lenovo IdeaPad 320S-13IKB (81AK00ALRA) Mineral Grey (SYD03FK7D) - Уцінка,21999, DOS ,19680, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,P,"13.3""", SSD 256 ГБ ,https://rozetka.com.ua/ua/49089366/p49089366/, 1.2 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050 Ti, 4 ГБ , HDD 1 ТБ ,Ноутбук Lenovo Legion Y520-15IKBN (80WK00V4RA) (SPF10NP3Z) - Уцінка,35574, DOS ,30330, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 16 ГБ ,матовий,P,"15.6""", SSD 128 ГБ ,https://rozetka.com.ua/ua/47341776/p47341776/, 2.4 кг 
 сріблястий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 810M, 2 ГБ , HDD 1 ТБ ,Ноутбук ASUS VivoBook Max X541NC-DM009 (90NB0E93-M00430) Silver Gradient (H9N0GR00Y568368) - Уцінка,9999, без ОС ,8099, Intel Pentium N4200 (1.1 - 2.5 ГГц) , RAM 4 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/47642280/p47642280/, 2 кг 
 темно-сірий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ ,,Ноутбук Asus VivoBook 15 X542UQ (X542UQ-DM027T) Dark Grey (H7N0CV00560326C) - Уцінка,19299, Windows 10 ,17760, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 6 ГБ ,матовий,1920x1080,"15.6""", SSD 256 ГБ ,https://rozetka.com.ua/ua/49089374/p49089374/, 2.15 кг 
 золотистий ,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050, 4 ГБ , HDD 1 ТБ ,Ноутбук ASUS Vivobook Pro N580VD-FY440 (90NB0FL1-M06680) Gold (H9N0CV01W10136H) - Уцінка,29599, Endless OS ,25649, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 8 ГБ ,матовий,P,"15.6""", SSD 128 ГБ ,https://rozetka.com.ua/ua/47584312/p47584312/, 2.2 кг 
 чохол,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера ', ' Windows 10 '", nVidia GeForce MX150, 2 ГБ ,,Ноутбук Asus ZenBook 13 UX331UN (UX331UN-EG009T) Royal Blue (HAN0CV089540418) - Уцінка,30998, 1.12 кг ,26646, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"13.3""", SSD 256 ГБ ,https://rozetka.com.ua/ua/46589616/p46589616/, синій 
 сірий ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook S14 S410UN (S410UN-EB056T) Grey (HBN0GR032901464) - Уцінка,29099, Windows 10 ,25109, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 12 ГБ ,матовий,1920x1080,"14.0""", SSD 256 ГБ ,https://rozetka.com.ua/ua/47340912/p47340912/, 1.43 кг 
 сірий металік ,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook Pro 17 N705UN (N705UN-GC049) Grey Metal (HAN0CV21D13644D) - Уцінка,28173, Без ОС ,24569, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 12 ГБ ,матовий,1920x1080,"17.3""", SSD 128 ГБ ,https://rozetka.com.ua/ua/47559736/p47559736/, 2.2 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND55097TP) - Уцінка,13299, DOS ,11117, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/46618248/p46618248/, 2.15 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND55098L3) - Уцінка,13299, DOS ,11250, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/46132912/p46132912/, 2.15 кг 
 сірий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel UHD Graphics 620 ,, HDD 1 ТБ ,Ноутбук Asus VivoBook 15 X510UA (X510UA-EJ624) Grey (HBN0CX20M97346C) - Уцінка,15599, Endless OS ,13139, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 4 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/47528000/p47528000/, 1.7 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel UHD 620 ,,,Ноутбук Lenovo IdeaPad 320-15IKB (81BG00VHRA) Onyx Black (SPF12H36W) - Уцінка,14444, DOS ,12149, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""", SSD 256 ГБ ,https://rozetka.com.ua/ua/47463360/p47463360/, 2.2 кг 
 білий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,, HDD 1 ТБ ,Ноутбук Asus X756UA (X756UA-T4357D) White (H8N0CX09T60633A) - Уцінка,16799, DOS ,14220, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"17.3""",,https://rozetka.com.ua/ua/47070544/p47070544/, 2.69 кг 
 сірий ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook S14 S410UN (S410UN-EB057T) Grey (HAN0GR02Z036428) - Уцінка,32984, Windows 10 ,29069, Intel Core i7-8550U (1.8 - 4.0 ГГц) , RAM 16 ГБ ,матовий,1920x1080,"14.0""", SSD 256 ГБ ,https://rozetka.com.ua/ua/47583408/p47583408/, 1.43 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon 520, 2 ГБ ,,Ноутбук HP 250 G6 (2RR92ES) Dark Ash (CND7323ZD7) - Уцінка,18563, DOS ,14616, Intel i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""", SSD 256 ГБ ,https://rozetka.com.ua/ua/48123670/p48123670/, 1.86 кг 
 сірий,,"' DVD±RW ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon R7 M445, 4 ГБ ,,Ноутбук Dell Inspiron 5567 (55i58S2R7M-LFG) Gray (6JHXY32) - Уцінка,17999, Linux ,14911, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,покриттям,1920x1080,"15.6""", SSD 256 ГБ ,https://rozetka.com.ua/ua/45398096/p45398096/, 2.36 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND55098JS) - Уцінка,13299, DOS ,11117, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/46135800/p46135800/, 2.15 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND55099GZ) - Уцінка,13299, DOS ,11117, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/46134312/p46134312/, 2.15 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND5509841) - Уцінка,13299, DOS ,11226, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/46780448/p46780448/, 2.15 кг 
 темно-коричневий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 920MX, 2 ГБ , HDD 500 ГБ ,Ноутбук ASUS VivoBook Max X541UV-GQ988 (90NB0CG1-M14170) Chocolate Black (H9N0CX02L248368) - Уцінка,11999, Endless OS ,10349, Intel Core i3-7100U (2.4 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/48090478/p48090478/, 2 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Lenovo IdeaPad 320-17IKB (81BJ003JRA) Onyx Black (SPF112ZBR) - Уцінка,21999, DOS ,20448, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,P,"17.3""", SSD 128 ГБ ,https://rozetka.com.ua/ua/49089478/p49089478/, 2.8 кг 
 сріблястий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,,,Ноутбук Dell XPS 13 9360 (93i716S5IHD-WSL) Silver (9VFGBH2) - Уцінка,52999, Windows 10 ,46480, Intel Core i7-7500U (2.7 - 3.5 ГГц) , RAM 16 ГБ ,покриттям,P,"13.3""", SSD 512 ГБ ,https://rozetka.com.ua/ua/47628536/p47628536/, 1.2 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб камера '", Intel HD Graphics 405 ,, HDD 1 ТБ ,Ноутбук HP 250 G6 (2HG40ES) Dark Ash (CND7311BH3) - Уцінка,10799, Windows 10 Home 64bit ,8822, Intel Pentium N3710 (1.6 - 2.56 ГГц) , RAM 4 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/46446480/p46446480/, 1.86 кг 
 сірий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,,,Ноутбук Dell Inspiron 5379 (I1378S2NIW-8FG) Gray (4PRZ2K2) - Уцінка,29455, Windows 10 Home ,25110, Intel Core i7-8550U (1.8 - 4.0 ГГц) , RAM 8 ГБ ,глянсовий,P,"13.3""", SSD 256 ГБ ,https://rozetka.com.ua/ua/47528848/p47528848/, 1.62 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Acer Aspire 5 A517-51G (NX.GSTEU.009) Obsidian Black (NXGSTEU0097370DEA53400) - Уцінка,16299, Linux ,14039, Intel Core i3-6006U (2.0 ГГц) , RAM 8 ГБ ,глянсовий,1600x900,"17.3""",,https://rozetka.com.ua/ua/47215904/p47215904/, 3 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 920MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook 17 X705UV (X705UV-GC025) Grey (HAN0CV19L68443H) - Уцінка,16199, Endless OS ,14669, Intel Core i3-7100U (2.4 ГГц) , RAM 6 ГБ ,матовий,1920x1080,"17.3""",,https://rozetka.com.ua/ua/46830208/p46830208/, 2.1 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND550982N) - Уцінка,13299, DOS ,11117, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/46135472/p46135472/, 2.15 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND55098KP) - Уцінка,13299, DOS ,10985, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/46241872/p46241872/, 2.15 кг 
синій,,"'без ОД', 'Wi-Fi', 'Bluetooth', 'веб камера'",Intel UHD Graphics 620,,,Ноутбук ASUS ZenBook 3 Deluxe UX490UA-BE099R (90NB0EI1-M04840) Blue (HBN0CY00453145D) - Уцінка,52499,Windows 10 Pro,47856,Intel Core i7-8550U (1.8 - 4.0 ГГц),RAM 16 ГБ,глянсовий,1920x1080,"14.0""",,https://rozetka.com.ua/ua/49090070/p49090070/,1.1 кг
 темно-коричневий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 920MX, 2 ГБ , HDD 1 ТБ ,Ноутбук ASUS VivoBook Max X541UV-GQ485 (90NB0CG1-M14200) Chocolate Black (H8N0CX23Y40835A) - Уцінка,15999, Endless OS ,14640, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/49089438/p49089438/, 2 кг 
 золотистий ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 2 ГБ ,,Ноутбук ASUS ZenBook UX430UN-GV049T (90NB0GH6-M00620) Gold (J5N0CV00592418H) - Уцінка,29740, Windows 10 ,24479, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"14.0""", SSD 256 ГБ ,https://rozetka.com.ua/ua/49090454/p49090454/, 1.3 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,,,Ноутбук Lenovo IdeaPad 320-15IKB (80XL02Q9RA) Onyx Black (SPF10J8HK) - Уцінка,17399, DOS ,13675, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""", SSD 256 ГБ ,https://rozetka.com.ua/ua/46586448/p46586448/, 2.2 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 500 ГБ ,Ноутбук Acer Aspire 5 A515-51G (NX.GPDEU.031) Steel Gray (NXGPDEU03173804BAE3400) - Уцінка,14499, Linux ,12396, Intel Core i3-6006U (2.0 ГГц) , RAM 4 ГБ ,матовий,1920x1080,"15.6""", SSD 128 ГБ ,https://rozetka.com.ua/ua/47070528/p47070528/, 2.1 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,, HDD 500 ГБ ,Ноутбук HP 250 G6 (2EW20ES) Dark Ash (CND7321840) - Уцінка,15199, Windows 10 Pro 64bit ,13499, Intel Core i5 7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/43461160/p43461160/, 1.86 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,, HDD 500 ГБ ,Ноутбук HP ProBook 430 G4 (W6P91AV_V5) (5CD74119GC) - Уцінка,16239, DOS ,13770, Intel Core i3-7100U (2.4 ГГц) , RAM 4 ГБ ,матовий,V,"13.3""", SSD 128 ГБ ,https://rozetka.com.ua/ua/48122046/p48122046/, 1.49 кг 
 чорний,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 515 ,,,Ноутбук Dell Latitude 7370 (210-AHGT-M5-8-256) carbon (DM450N2) - Уцінка,23599, Windows 10 Pro 64bit ,21780, Intel Core M5-6Y57 (1.1 - 2.8 ГГц) , RAM 8 ГБ ,покриттям,P,"13.3""", SSD 256 ГБ ,https://rozetka.com.ua/ua/49946070/p49946070/, 1.12 кг 
,,,,, HDD 1 ТБ ,Ноутбук ASUS FX553VE-DM406 (90NB0DX7-M06150) Black Red (HBN0CV17E41947D) - Уцінка,24599, RAM 8 ГБ ,22599, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/49946078/p49946078/, HDD 1 ТБ 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,,,Ноутбук Lenovo ThinkPad T470 (20HDS00N00) (SPF0WXGTW) - Уцінка,32780, DOS ,30789, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 16 ГБ ,матовий,1920x1080,"14""", SSD 256 ГБ ,https://rozetka.com.ua/ua/49946086/p49946086/, 1.65 кг 
 сірий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050 Ti, 4 ГБ ,,Ноутбук Dream Machines Clevo G1050Ti-17 (G1050Ti-17UA22) (BR707838) - Уцінка,35499, DOS ,31920, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 16 ГБ ,матовий,P,"17.3""", SSD 500 ГБ ,https://rozetka.com.ua/ua/49089494/p49089494/, 3.1 кг 
 червоний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook 15 X542UQ (X542UQ-DM038) Red (H9N0CV054056360) - Уцінка,18899, без ОС ,15069, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/47556240/p47556240/, 2.15 кг 
 чорний,,"' DVD+', '-RW ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon R5 M430, 2 ГБ , HDD 1 ТБ ,Ноутбук Dell Inspiron 3567 (I35F5810DDL-6BK) Black (F2VDTJ2) - Уцінка,16999, Linux ,13996, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,покриттям,1920x1080,"15.6""",,https://rozetka.com.ua/ua/43336464/p43336464/, 2.3 кг 
 бронзовий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Lenovo IdeaPad 520-15IKB (81BF00ENRA) Bronze (SPF10Q5FA) - Уцінка,25364, DOS ,21617, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 16 ГБ ,матовий,P,"15.6""", SSD 128 ГБ ,https://rozetka.com.ua/ua/46127424/p46127424/, 2.2 кг 
 серебристый,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 4 ГБ , HDD 2 ТБ ,Ноутбук HP Pavilion 15-cc532ur (2CT31EA) Silver (5CD745B3SZ) - Уцінка,29018, Windows 10 Home 64bit ,24795, Intel Core i7-7500U (2.7 - 3.5 ГГц) , RAM 8 ГБ ,матовый,P,15.6”, SSD 128 ГБ ,https://rozetka.com.ua/ua/48124062/p48124062/, 1.82 кг 
 темно-коричневий,,"' DVD SuperMulti ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 810M, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook Max X541SC (X541SC-DM016D) Chocolate Black (H2N0GR029867093) - Уцінка,9799, DOS ,8189, Intel Pentium N3710 (1.6 - 2.56 ГГц) , RAM 4 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/47070592/p47070592/, 2 кг 
,,,,, HDD 1 ТБ ,Ноутбук ASUS FX553VE-DM406 (90NB0DX7-M06150) Black Red (HBN0CV237823485) - Уцінка,24599, RAM 8 ГБ ,22599, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/49946094/p49946094/, HDD 1 ТБ 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel UHD 620 ,, HDD 1 ТБ ,Ноутбук Lenovo ThinkPad E480 (20KN005CRT) Black (SPF13R92Z) - Уцінка,20871, DOS ,18713, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,P,"14""",,https://rozetka.com.ua/ua/49946102/p49946102/, 1.75 кг 
 темно-коричневий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук ASUS X756UQ-T4332D (90NB0C31-M03690) Dark Brown (H7N0CX00229926A) - Уцінка,17568, DOS ,15770, Intel Core i3-7100U (2.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"17.3""",,https://rozetka.com.ua/ua/49946110/p49946110/, 2.69 кг 
 золотистий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX110, 2 ГБ , HDD 1 ТБ ,Ноутбук ASUS X507UB-EJ048 (90NB0HN2-M00570) Silver (J2N0CV00L761055) - Уцінка,20499, Endless OS ,18720, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""", SSD 128 ГБ ,https://rozetka.com.ua/ua/49089390/p49089390/, 1.68 кг 
 темно-коричневий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 920MX, 2 ГБ , HDD 1 ТБ ,Ноутбук ASUS VivoBook Max X541UV-GQ485 (90NB0CG1-M14200) Chocolate Black (H7N0CX10367528D) - Уцінка,15999, Endless OS ,14880, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/49089446/p49089446/, 2 кг 
 червоний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook 15 X542UQ (X542UQ-DM038) Red (H9N0CV054063363) - Уцінка,18899, без ОС ,15794, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/46443536/p46443536/, 2.15 кг 
 сріблястий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 920MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook Max X541UV (X541UV-GQ997) Silver (H8N0CX21Z416351) - Уцінка,15999, Endless OS ,13949, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,глянсовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/47046856/p47046856/, 2 кг 
 сірий,,"' DVD±RW ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon R7 M445, 4 ГБ , HDD 1 ТБ ,Ноутбук Dell Inspiron 5567 (55i58H1R7M-LFG) Gray (7XZYW32) - Уцінка,17999, Linux ,14315, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,покриттям,1920x1080,"15.6""",,https://rozetka.com.ua/ua/42408600/p42408600/, 2.36 кг 
 чорний ,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050 Ti, 4 ГБ , HDD 1 ТБ ,Ноутбук Asus ROG Strix GL553VE (GL553VE-FY140T) (H7N0CV01Y021279) - Уцінка,46499, Windows 10 ,40770, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 32 ГБ ,матовий,1920x1080,"15.6""", SSD 256 ГБ ,https://rozetka.com.ua/ua/47003904/p47003904/, 2.5 кг 
 золотистий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook 14 X411UQ (X411UQ-EB091) Gold (J1N0GR03K302039) - Уцінка,21999, Endless OS ,18886, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"14.0""", SSD 128 ГБ ,https://rozetka.com.ua/ua/47003416/p47003416/, 1.35 кг 
 темно-коричневий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук ASUS X756UQ-T4332D (90NB0C31-M03690) Dark Brown (H7N0CX002254266) - Уцінка,17568, DOS ,15770, Intel Core i3-7100U (2.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"17.3""",,https://rozetka.com.ua/ua/49946126/p49946126/, 2.69 кг 
 сірий ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX130, 2 ГБ , HDD 1 ТБ ,Ноутбук ASUS ZenBook UX410UF-GV006T (90NB0HZ3-M00070) Quartz Gray (J1N0CV10W469039) - Уцінка,32534, Windows 10 ,30467, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 16 ГБ ,матовий,1920x1080,"14""", SSD 256 ГБ ,https://rozetka.com.ua/ua/49946134/p49946134/, 1.4 кг 
 сірий ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук ASUS VivoBook S14 S410UN-EB055T (90NB0GT2-M00800) Grey (HBN0GR04N216477) - Уцінка,21807, Windows 10 ,20447, Intel Core i3-7100U (2.4 ГГц) , RAM 8 ГБ ,матовий,P,"14""", SSD 128 ГБ ,https://rozetka.com.ua/ua/49090342/p49090342/, 1.3 кг 
 чохол,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера ', ' Windows 10 '", nVidia GeForce MX150, 2 ГБ ,,Ноутбук ASUS ZenBook 13 UX331UN-EG009T (90NB0GY1-M00100) Blue (J4N0CV07P003179) - Уцінка,30998, 1.12 кг ,28799, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"13.3""", SSD 256 ГБ ,https://rozetka.com.ua/ua/49090062/p49090062/, синій 
